Description,ID,Location,Sherrifs,Date
"211R/ATT ROBBERY, OTHER ROBBERY",190510124,E BASELINE ST / ELMWOOD RD,Highland Police,2/20/2019 20:15
THEFT - FROM VEH,2019-00022861,2200 BLOCK CHESTNUT ST,San Bernardino Police,2/20/2019 20:00
THEFT - ALL OTHER,2019-00022252,500 BLOCK G ST,San Bernardino Police,2/20/2019 20:00
ROBBERY,2019-00022710,200 BLOCK BASELINE ST,San Bernardino Police,2/20/2019 19:30
THEFT- MOTOR VEHICLE,2019-00022715,D ST & WABASH ST,San Bernardino Police,2/20/2019 19:30
ROBBERY,2019-00023046,1000 BLOCK TIPPECANOE AVE,San Bernardino Police,2/20/2019 19:00
ROBBERY,2019-00022661,200 BLOCK PENNSYLVANIA AVE,San Bernardino Police,2/20/2019 16:30
ASSAULT - AGGRAVATED,2019-00022656,1200 BLOCK BELLE ST,San Bernardino Police,2/20/2019 16:00
"Carry, poss, sell, manuf, furnish, ammo",190003068,2600 BLOCK VIA SAN MIGUEL ST,Fontana Police,2/20/2019 15:49
THEFT- MOTOR VEHICLE,2019-00022634,800 BLOCK E ST,San Bernardino Police,2/20/2019 15:33
ASSAULT - SIMPLE (NO MED NEEDED),2019-00022636,200 BLOCK K ST,San Bernardino Police,2/20/2019 15:30
THEFT - ALL OTHER,2019-00022684,1200 BLOCK HUFF ST,San Bernardino Police,2/20/2019 14:35
ASSAULT - AGGRAVATED,2019-00022587,1100 BLOCK RIALTO AVE,San Bernardino Police,2/20/2019 14:00
THEFT- MOTOR VEHICLE,2019-00022952,300 BLOCK 8TH ST,San Bernardino Police,2/20/2019 14:00
DRUNKENNESS,2019-00022560,2000 BLOCK MILL AVE,San Bernardino Police,2/20/2019 13:20
THEFT- MOTOR VEHICLE,2019-00022471,200 BLOCK E ST,San Bernardino Police,2/20/2019 9:50
THEFT - FROM VEH,2019-00022676,300 BLOCK D ST,San Bernardino Police,2/20/2019 8:00
ROBBERY,2019-00022337,BASELINE ST & BERKELEY AVE,San Bernardino Police,2/20/2019 2:15
THEFT- MOTOR VEHICLE,2019-00022412,200 BLOCK RANCHO AVE,San Bernardino Police,2/19/2019 21:00
THEFT- MOTOR VEHICLE,2019-00022965,700 BLOCK BASELINE ST,San Bernardino Police,2/19/2019 20:55
BURGLARY/BREAKING & ENTERING,2019-00022383,300 BLOCK BASELINE ST,San Bernardino Police,2/19/2019 19:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00022234,1500 BLOCK BASELINE ST,San Bernardino Police,2/19/2019 18:25
ROBBERY,2019-00022209,800 BLOCK MEDICAL CENTER DR,San Bernardino Police,2/19/2019 17:50
ASSAULT - SIMPLE (NO MED NEEDED),2019-00022192,400 BLOCK GILBERT ST,San Bernardino Police,2/19/2019 17:30
DRUNKENNESS,2019-00022170,15TH ST & STODDARD AVE,San Bernardino Police,2/19/2019 16:55
"ASSAULT-SIMPLE, HANDS, FIST, FEET",190500093,7300 BLOCK GUTHRIE ST,Highland Police,2/19/2019 16:10
ASSAULT - SIMPLE (NO MED NEEDED),2019-00022298,1500 BLOCK BASELINE ST,San Bernardino Police,2/19/2019 15:09
Theft of Motor Vehicle Parts and Accessories,931901492,1000 BLOCK N TERRACE RD,Rialto Police,2/19/2019 14:08
ASSAULT - AGGRAVATED,2019-00022063,300 BLOCK RIALTO AVE,San Bernardino Police,2/19/2019 14:00
AUTO BURGLARY,190500056,7400 BLOCK STERLING AVE,Highland Police,2/19/2019 11:56
ASSAULT - AGGRAVATED,2019-00022464,1600 BLOCK BASELINE ST,San Bernardino Police,2/19/2019 11:00
ROBBERY,2019-00021926,1300 BLOCK 5TH ST,San Bernardino Police,2/19/2019 9:46
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021938,1200 BLOCK MTN VIEW AVE,San Bernardino Police,2/19/2019 9:40
BURGLARY/BREAKING & ENTERING,2019-00021919,700 BLOCK ARROWHEAD AVE,San Bernardino Police,2/19/2019 9:25
BURGLARY/BREAKING & ENTERING,2019-00022275,100 BLOCK 8TH ST,San Bernardino Police,2/19/2019 5:00
THEFT- MOTOR VEHICLE,2019-00022197,400 BLOCK SEPULVEDA AVE,San Bernardino Police,2/19/2019 4:30
FRAUD BY FALSE PRETENSE,190500091,25900 BLOCK BASELINE ST,Highland Police,2/19/2019 2:38
POSS OF CONTROLLED SUBSTANCE,190500006,7200 BLOCK GARDEN DR,San Bernardino County Sheriff,2/19/2019 2:32
GTA - AUTO,190500009,24700 BLOCK 4TH ST,San Bernardino County Sheriff,2/19/2019 2:07
MISC NARCOTIC MISD,190500004,BASELINE ST / MIRA VISTA AVE,Highland Police,2/19/2019 0:44
THEFT- MOTOR VEHICLE,2019-00021884,900 BLOCK RIALTO AVE,San Bernardino Police,2/18/2019 23:00
THEFT- MOTOR VEHICLE,2019-00022083,2600 BLOCK MILL ST,San Bernardino Police,2/18/2019 22:30
ROBBERY,2019-00021744,1400 BLOCK SEPULVEDA AVE,San Bernardino Police,2/18/2019 22:29
THEFT - FROM VEH,2019-00021841,1500 BLOCK BASELINE ST,San Bernardino Police,2/18/2019 19:30
THEFT- MOTOR VEHICLE,2019-00021860,2100 BLOCK RIALTO AVE,San Bernardino Police,2/18/2019 17:00
ASSAULT - AGGRAVATED,2019-00022094,900 BLOCK E ST,San Bernardino Police,2/18/2019 16:18
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021596,300 BLOCK BASELINE ST,San Bernardino Police,2/18/2019 14:05
FRAUD BY FALSE PRETENSE,190490031,600 BLOCK E 3RD ST,San Bernardino County Sheriff,2/18/2019 12:59
THEFT - ALL OTHER,2019-00021568,14TH ST & HERRINGTON AVE,San Bernardino Police,2/18/2019 11:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021511,G ST & 6TH ST,San Bernardino Police,2/18/2019 8:00
ASSAULT - AGGRAVATED,2019-00021517,200 BLOCK SIERRA WAY,San Bernardino Police,2/18/2019 2:30
THEFT - ALL OTHER,2019-03000584,1053 WILSON ST,San Bernardino Police,2/18/2019 2:00
THEFT- MOTOR VEHICLE,2019-00021421,2ND ST & K ST,San Bernardino Police,2/18/2019 0:02
AUTO BURGLARY,190480072,6900 BLOCK FAIRFAX DR,San Bernardino County Sheriff,2/17/2019 20:35
BURGLARY/BREAKING & ENTERING,2019-00021502,100 BLOCK BASELINE ST,San Bernardino Police,2/17/2019 20:00
ASSAULT - AGGRAVATED,2019-00021320,1000 BLOCK CABRERA AVE,San Bernardino Police,2/17/2019 18:40
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021311,2200 BLOCK CHESTNUT ST,San Bernardino Police,2/17/2019 18:00
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021319,200 BLOCK 8TH ST,San Bernardino Police,2/17/2019 18:00
THEFT- MOTOR VEHICLE,2019-00021314,1400 BLOCK SEPULVEDA AVE,San Bernardino Police,2/17/2019 18:00
THEFT- MOTOR VEHICLE,2019-00021293,BASELINE ST & G ST,San Bernardino Police,2/17/2019 16:14
"RESIDENTIAL-DAY, ENTRY BY FORCE",190480084,25300 BLOCK 4TH ST,Highland Police,2/17/2019 15:45
ASSAULT - AGGRAVATED,2019-00021250,1500 BLOCK ARIZONA AVE,San Bernardino Police,2/17/2019 14:53
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021205,100 BLOCK E ST,San Bernardino Police,2/17/2019 12:36
THEFT- MOTOR VEHICLE,2019-00021202,600 BLOCK E ST,San Bernardino Police,2/17/2019 12:14
THEFT - ALL OTHER,2019-00021242,800 BLOCK BASELINE ST,San Bernardino Police,2/17/2019 11:30
ASSAULT - AGGRAVATED,2019-00021263,1600 BLOCK ARROWHEAD AVE,San Bernardino Police,2/17/2019 11:00
THEFT- MOTOR VEHICLE,2019-00021207,200 BLOCK OLIVE ST,San Bernardino Police,2/17/2019 10:00
BURGLARY/BREAKING & ENTERING,2019-00021119,300 BLOCK WATERMAN AVE,San Bernardino Police,2/17/2019 6:00
ASSAULT - AGGRAVATED,2019-00021123,1200 BLOCK SIERRA WAY,San Bernardino Police,2/17/2019 5:18
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021084,1500 BLOCK ARDEN AVE,San Bernardino Police,2/17/2019 0:01
ASSAULT - SIMPLE (NO MED NEEDED),2019-00021032,600 BLOCK E ST,San Bernardino Police,2/16/2019 23:23
ROBBERY,2019-00021030,800 BLOCK BASELINE ST,San Bernardino Police,2/16/2019 22:55
